id,udise,sch_name,sch_type,sch_mgmt,lower_class,higher_class,area,status
142,28120209701,GPSTW KUSA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
143,28120209801,MPPS BAYYADA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
144,28120209901,GPS VALLADA,PRIMARY,STATE GOVT.,1,5,Rural,Active
145,28120210001,MPPS GORADA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
146,28120210003,GTWAS GORADA,PRIMARY WITH UPPER PRIMARY,TW DEPT. ASHRAM SCHOOLS,3,8,Rural,Active
147,28120210201,AIDED PS KARIVALASA,PRIMARY,STATE GOVT.,1,5,Rural,Active
148,28120210202,AIDED PS P AMITI,PRIMARY,PVT.AIDED,1,5,Rural,Inactive
149,28120210203,GPSTW P AMITI COL,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
150,28120210205,GTWASGIRLS P AMITI,PR. UP PR. AND SECONDARY ONLY,TW DEPT. ASHRAM SCHOOLS,3,10,Rural,Active
151,28120210210,MPPS GOPALAPURAM,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
152,28120210301,GPSTW KUDDAPAVALASA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,3,Rural,Active
153,28120210401,MPPS SADUNUGUDA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
154,28120210501,MPPS VANJARAPUGUDA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
155,28120210601,MPPS DIGUVAMANDA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
156,28120210801,MPPS REGIDI,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
157,28120210804,GTWAHSGIRLS REGIDI,PR. UP PR. AND SECONDARY ONLY,TW DEPT. ASHRAM SCHOOLS,3,10,Rural,Active
158,28120211001,GPS BALESU,PRIMARY,STATE GOVT.,1,5,Rural,Active
159,28120211201,MPPS DIGUVADERUVADA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
160,28120211301,GPSTW VANAKABADI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
161,28120211401,GPSTW GEDRAJOLA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
162,28120211501,GPS TW VANDIDI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
163,28120211601,GPSTW DONGARAKIKKUVA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
164,28120211701,MPPS JOGIPURAM,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
165,28120211801,MPPS KONDAKUNERU,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
166,28120211901,GPSTW VADAPUTTI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
167,28120212001,GPS NELLIKIKKUVA,PRIMARY,STATE GOVT.,1,5,Rural,Active
168,28120212101,MPPS DUDDUKHALLU,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
169,28120212103,GPSTW DORAKIKKUVA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
170,28120212104,GTWAS DUDDUKHALLU,PR. UP PR. AND SECONDARY ONLY,TW DEPT. ASHRAM SCHOOLS,3,10,Rural,Active
171,28120212107,GPSTW KOTHAVALASA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
172,28120212201,MPPS BELLIDI,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
173,28120212202,MPPS DADUPURAM,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
174,28120212203,GPS BODLAGUDA,PRIMARY,STATE GOVT.,1,5,Rural,Active
175,28120212205,GPSTW LOVA LAKSHMIPURAM,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
176,28120212206,GTWAS DORAJAMMU,PR. UP PR. AND SECONDARY ONLY,TW DEPT. ASHRAM SCHOOLS,1,10,Rural,Active
177,28120212301,MPPS CHINTALAPADU,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
178,28120212302,MPPS BUDDAMMAKHARJA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
179,28120212303,GPS MEDARAGANDA,PRIMARY,STATE GOVT.,1,5,Rural,Active
180,28120212401,MPPS TIKKABAI,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
181,28120212402,GPSTW MALLUGUDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
182,28120212403,GTWAS TIKKABAI,PR. UP PR. AND SECONDARY ONLY,TW DEPT. ASHRAM SCHOOLS,3,10,Rural,Active
